Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
"Jolly S.A., Garousi V., Eskandar M.M.","Automated unit testing of a SCADA control software: An industrial case study based on action research",2012,"Proceedings - IEEE 5th International Conference on Software Testing, Verification and Validation, ICST 2012",,,"6200132","400","409",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862330838&doi=10.1109%2fICST.2012.120&partnerID=40&md5=e531e9e69840f9dc2fcf9660bf5c7dbf","We report in this case-study paper our experience and success story with a practical approach and tool for unit regression testing of a SCADA (Supervisory Control and Data Acquisition) software. The tool uses a black-box specification of the units under test to automatically generate NUnit test code. We then improved the test suite by white-box and mutation testing. The approach and tool were developed in an action-research project to test a commercial large-scale SCADA system called Rocket. © 2012 IEEE.","action research; automated unit testing; industrical case study; SCADA software","Action research; Automated units; Black boxes; Control software; Industrial case study; industrical case study; Mutation testing; Regression testing; Supervisory control and data acquisition; Test code; Tool use; Units under tests; Industrial applications; Research; SCADA systems; Software testing",
"Mukkavilli L.","Smart unit testing framework",2012,"Proceedings - 23rd IEEE International Symposium on Software Reliability Engineering Workshops, ISSREW 2012",,,"6407378","70","79",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873369739&doi=10.1109%2fISSREW.2012.45&partnerID=40&md5=5035e9f7865252bb03b813d463976b2e","Unit testing(UT) is an important step in ensuring the quality of software. Considerable effort is spent in unit testing. There are several frameworks to help with UT. Some common frameworks are Cunit, Junit, Nunit etc. All of these have very similar capabilities. They provide capabilities for organizing and registering tests, registration of test initializers and finalizers, test execution and asserting the test outcome and reporting the summary. The actual task of bug finding is left to the user. Users write the code to perform the tests and check the outcome. A common characteristic of the unit tests is that the fraction of the code that actually performs the tests is small. The bulk of the test code was for bookkeeping. My observation is that most tests are very basic. Mostly they are API/functions calls. We were very concerned about the ROI (Return on Investment). A significant percentage of the CFD's (Customer Found Defects) were identified as UT escapes. I started looking at enhancing the value of unit testing. I designed and built a new unit testing framework. My goals were to maximize bug finding capabilities while reducing the effort in creating the tests. The new framework has direct support for Fault Injection, automatic generation of API robustness tests, code coverage, MBT (Model Based Testing), performance and scalability testing. The model used for defining a test is a directed graph. Every test is structured as a directed graph. Evaluation of the new framework was performed by using two features for which unit tests were written in one of the standard UT frameworks. These UT efforts were considered to be very good. The same features were tested using the new framework. No new test code was added. Here are the results: Feature 1 - The original tests found 8 bugs. The new framework found 24 bugs. Included in these 24 are the 8 bugs that were originally found. Of the remaining 16 bugs, 8 were API robustness failures. 5 bugs were bugs in the error handling code (two of these 5 pointed at missing error handling code). 3 bugs were uncovered due to the sequencing of the original tests. Since the tests are embedded in a directed graph, the testing involved traversal of various paths. Code coverage (statement coverage) increased by about 8%. The number of lines in the test code decreased by about 50%. Feature 2 - The original tests found 10 bugs. The new framework found 30 bugs. Included in these 30 are the 10 bugs found originally. Of the remaining 20 bugs, 12 were API robustness failures. Four were bugs in the error handling code (two of the 4 pointed at missing error handling code). Four bugs were uncovered due to the sequencing of the original tests. Since the tests are embedded in a directed graph, testing involved traversal of various paths. Code coverage (statement coverage) increased by about 10%. The number of lines in the test code decreased by about 50%. The new UT or whitebox testing framework is being used in several projects. Testers use the framework for whitebox testing. Unique features of the new framework like API robustness test generation, Fault Injection, MBT, performance/scalability analysis have accounted for about 70% of the bugs found during unit testing. [This work was performed while I was at Cisco systems. © 2012 IEEE.",,"Automatic Generation; Bug finding; Cisco system; Code coverage; Customer found defect; Error handling codes; Fault injection; Finalizers; Initializers; Model based testing; Quality of softwares; Return on investments; Smart units; Statement coverage; Test code; Test execution; Test generations; Unique features; Unit testing; Unit testing frameworks; Unit tests; White-box testing; Profitability; Robustness (control systems); Software reliability; Software testing; Technical presentations; Directed graphs",
"Mateo M., Bailey III J.I., Crane J., Shectman S., Thompson I., Roederer I., Bigelow B., Gunnels S.","M2FS: The Michigan/Magellan fiber system",2012,"Proceedings of SPIE - The International Society for Optical Engineering","8446",,"84464Y","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871959783&doi=10.1117%2f12.926448&partnerID=40&md5=995fb11e2778f68d8e36041304c3bdbe","We describe the Michigan/Magellan Fiber System (M2FS) under construction for use on the Magellan/Clay telescope. M2FS consists of four primary components including: (1) A fiber-fed double spectrograph (MSPec) in which each spectrograph is fed by 128 fibers (for a total multiplexing factor of 256) and each is optimized in to operate from 370-950 nm; (2) A fiber mounting system (MFib) that supports the fibers and fiber plug plates at the telescope f/11 Nasmyth focal surface and organizes the fibers into 'shoes' that are used to place the fibers at the image surface of the MSpec spectrographs;, (3) A new wide-field corrector (WFC) that produces high-quality images over a 30 arcmin diameter field; (4) A unit (MCal) mounted near the telescope secondary that provides wavelength and continuum calibration and that supports a key component in a novel automated fiber identification system. We describe the opto-mechanical properties of M2FS, its modes of operation, and its anticipated performance, as well as potential upgrades including the development of a robotic fiber positioner and an atmospheric dispersion corrector. We describe how the M2FS design could serve as the basis of a powerful wide-field, massively multiplexed spectroscopic survey facility. © 2012 SPIE.","Fiber optics; Ground-Based telescopes; Multi-Object spectrographs; Spectroscopy","Atmospheric Dispersion Correctors; Fiber mounting; Fiber positioner; Fiber systems; Focal surfaces; Ground-based telescopes; High quality images; Image surface; Magellan; Michigan; Modes of operation; Multi-object spectrograph; Optomechanical; Spectroscopic surveys; Wide-field; Astronomy; Atmospheric movements; Fiber optics; Mechanical properties; Mountings; Multiplexing; Optical telescopes; Spectrographs; Spectroscopy; Telescopes; Fibers",
"Garousi V., Zhi J.","A survey of software testing practices in Canada",2013,"Journal of Systems and Software","86","5",,"1354","1376",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875265017&doi=10.1016%2fj.jss.2012.12.051&partnerID=40&md5=f4f6e01e3cf6ff84d6cf9d86aaa265cc","Software testing is an important activity in the software development life-cycle. In an earlier study in 2009, we reported the results of a regional survey of software testing practices among practitioners in the Canadian province of Alberta. To get a larger nationwide view on this topic (across Canada), we conducted a newer survey with a revised list of questions in 2010. Compared to our previous Alberta-wide survey (53 software practitioners), the nation-wide survey had larger number of participants (246 practitioners). We report the survey design, execution and results in this article. The survey results reveal important and interesting findings about software testing practices in Canada. Whenever possible, we also compare the results of this survey to other similar studies, such as the ones conducted in the US, Sweden and Australia, and also two previous Alberta-wide surveys, including our 2009 survey. The results of our survey will be of interest to testing professionals both in Canada and world-wide. It will also benefit researchers in observing the latest trends in software testing industry identifying the areas of strength and weakness, which would then hopefully encourage further industry-academia collaborations in this area. Among the findings are the followings: (1) the importance of testing-related training is increasing, (2) functional and unit testing are two common test types that receive the most attention and efforts spent on them, (3) usage of the mutation testing approach is getting attention among Canadian firms, (4) traditional Test-last Development (TLD) style is still dominating and a few companies are attempting the new development approaches such as Test-Driven Development (TDD), and Behavior-Driven Development (BDD), (5) in terms of the most popular test tools, NUnit and Web application testing tools overtook JUnit and IBM Rational tools, (6) most Canadian companies use a combination of two coverage metrics: decision (branch) and condition coverage, (7) number of passing user acceptance tests and number of defects found per day (week or month) are regarded as the most important quality assurance metrics and decision factors to release, (8) in most Canadian companies, testers are out-numbered by developers, with ratios ranging from 1:2 to 1:5, (9) the majority of Canadian firms spent less than 40% of their efforts (budget and time) on testing during development, and (10) more than 70% of respondents participated in online discussion forums related to testing on a regular basis. © 2012 Elsevier Inc.","Canada; Industry practices; Software testing; Survey","Acceptance tests; Budget control; Computer programming; Life cycle; Quality assurance; Software design; Surveying; Surveys; Canada; Development approach; Industry practices; Online discussion forums; Software development life cycle; Software practitioners; Test driven development; Web application testing; Software testing","Elsevier Inc."
"Seshu Kumar A.N., Vasavi S.","Effective unit testing framework for automation of windows applications",2013,"Advances in Intelligent Systems and Computing","174 AISC",,,"813","822",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871286377&doi=10.1007%2f978-81-322-0740-5_97&partnerID=40&md5=5cf1b980dec5bf520425d8c8b0f49c6c","The major concern of software industry is software quality and reliability. Unit Testing is a practical approach to improve the quality and reliability of a software. Unit testing is usually performed by programmers and is the base for all other tests such as integration testing and system testing. Unit Testing can be done manually (and/or) automatically. This paper presents ""White.NUnit"" framework that automates the unit testing of windows applications. The automated unit tests are written by the developers after the completion of functionality coding. We found that the number of defects got reduced when automated unit tests are written iteratively similar to test driven development. This framework proved that significant portions of windows application can be automatically tested without manual intervention. This reduces the Manpower involved in testing each and every unit of the application and increases the quality of the software product. © 2013 Springer.",,"Automation; Computer software selection and evaluation; Software engineering; Software reliability; Automated units; Integration testing; Manual intervention; Software industry; Software products; Software Quality; System testing; Test driven development; Unit testing; Unit testing frameworks; Windows application; Software testing","Springer Verlag"
"Chaczko Z., Braun R., Carrion L., Dagher J.","Design of unit testing using xUnit.net",2014,"ITHET 2014 - 13th International Conference on Information Technology Based Higher Education and Training",,,"7155685","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943311889&doi=10.1109%2fITHET.2014.7155685&partnerID=40&md5=214b6d850168cfb89ce7748523154a86","This paper presents an in-depth study of designing, implementing and executing unit test cases using the xUnit.net testing tool in general and in the context of the TeleMedicine Cluster System project within the ICT Design subject delivered at UTS, Australia. The case studies are based on the utilisation of the tool in Visual Basic 2012 using the.NET framework for C#. The paper elucidates on how and why the xUnit framework can be applied in the context of the TMC system, and how it can be tailored to meet the testing ad integration needs of the delivery of TMC system. © 2014 IEEE.","Automated Testing; Software Development Process; Unit Testing","Education; Engineering education; Software design; Software engineering; Software testing; Automated testing; Case-studies; Cluster systems; In-depth study; Software development process; Testing tools; Unit testing; Unit tests; Integration testing","Institute of Electrical and Electronics Engineers Inc."
"Sarwar S., Mahmood Y., Qayyum Z.U., Shafi I.","Test case prioritization for NUnit based test plans in agile environment",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8722",,,"246","253",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921854226&doi=10.1007%2f978-3-319-10554-3_25&partnerID=40&md5=b4c54512a7fb7372c5bb1237b67c5b7b","Test Case prioritization having a key role to play in prioritizing test scenarios from a pile of scenarios, to best of our knowledge, has not been employed in Agile environment for prioritizing test cases in Automated Test Plans. Considering automated testing in agile environment esp scrum, a prioritized test plan containing high priority test cases is emanated using Genetic Algorithms. This prioritization is courtesy to base factors such as operational profile, test scenario criticality, and faults uncovered by each test case; used to weight test scenarios. Proposed technique exhibits great performance by ameliorating the rate of fault detection by dynamically prioritizing NUnit based test scenarios. © Springer International Publishing Switzerland 2014.","Agile Testing; Automated Test Plans; Genetic Algorithms; Regression Testing; Test Case Prioritization","Automation; Fault detection; Genetic algorithms; Piles; Software testing; Agile manufacturing systems; Artificial intelligence; Agile environment; Agile testing; Automated test; Automated testing; Operational profile; Prioritization; Regression testing; Test case prioritization; Testing","Springer Verlag"
"López-Fernández J.J., Guerra E., De Lara J.","Meta-model validation and verification with metabest",2014,"ASE 2014 - Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering",,,,"831","834",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908617806&doi=10.1145%2f2642937.2648617&partnerID=40&md5=0f673c75061d06112cb04ca9f0707417","Meta-models play a cornerstone role in Model-Driven Engineering as they are used to define the abstract syntax of Domain-Specific Modelling Languages, and so models and all sorts of model transformations depend on them. However, there are scarce tools and methods supporting their validation and verification, which are essential activities for the proper engineering of meta-models. In this paper we present an Eclipse-based tool that aims to fill this gap by providing two complementary meta-model testing languages. The first one has similar philosophy to the xUnit framework, enabling the definition of meta-model unit test suites comprising model fragments and assertions on their (in-)correctness. The second one is directed to verify expected properties of the meta-model, including domain and design properties, quality criteria and platform-specific requirements. Both tools are integrated within a framework for example-based, incremental meta-model development. © 2014 ACM.","Example-based meta-modelling; Meta-modelling; Metamodel testing; Validation and verification (V&V)","Computational linguistics; Software engineering; Domain-Specific Modelling Languages; Meta model; Meta-modelling; Model transformation; Model-driven Engineering; Quality criteria; Tools and methods; Validation and verification; Modeling languages","Association for Computing Machinery, Inc"
"Cheng Y.-P., Fan C.-W.","Apply capture/replay to xunit testing",2014,"ICIC Express Letters, Part B: Applications","5","2",,"349","356",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893173999&partnerID=40&md5=96a1abecc28eea158fe83a45e15b0ae8","Adopting xUnit testing framework in software development often requires a lot of refactoring to the system under test (SUT). Contrast to system testing which can be performed by tools, xUnit testing is a coding activity which produces test code as the delivery. Test code, unfortunately, is subject to the maintenance problems like system code. In this paper, a prototype tool called CRUnit is proposed to alleviate the test overhead from adopting xUnit testing framework. CRUnit is a JUnit add-on, which can replace the hand-crafted assertions by a Capture/Replay process with the help from debuggers. Contrast to xUnit testing framework that treats a SUT as a blackbox, CRUnit probes the internal states of a SUT so that complicated hand-crafted assertions are no longer needed from test methods. This semi-automated process is achieved by introducing the verification power of human brain and human eyes with the help from ""visualizers"". © 2014 ISSN 2185-2766.","Capture/replay testing; Debugger; Xunit testing","Capture/replay; Debuggers; Internal state; Maintenance Problem; Prototype tools; System testing; System under test; Testing framework; Automation; Software engineering; Testing; Black-box testing",
"Abdelkarim T., Hassane H., Alaoui Ouatik S.E., Mohamed O., Brahim R.","Mobility in the nsis signaling protocol",2014,"International Journal on Communications Antenna and Propagation","4","5",,"215","220",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922808233&doi=10.15866%2firecap.v4i5.4414&partnerID=40&md5=29890757fb62041abb976cca06929d89","Providing mobile terminals with QoS (Quality of Service) in an all-IP environment requires a very extensive research. In integrated services networks, most of work is seeking to extend RSVP to a mobile environment. In this case, the article describes a new procedure for resource reservation in the wireless environment. It is based on the application of QoS NSLP signaling [1], following the work of the IETF NSIS (Next Steps In Signaling) WG. This is primarily based on a reservation Mspec(Mobility Specification) object that determines the future locations of the terminal which is included in a mobility profile. In this way, we can improve the QoS. © 2014 Praise Worthy Prize S.r.l. - All rights reserved.","Handover; Mobility; MSpec; NSIS; QOS; Signaling",,"Praise Worthy Prize S.r.l"
