Title;Abstract;Authors;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Link;Author Keywords;Index Keywords;Publisher
A test automation framework based on WEB;Many software applications today are written as web-based applications to be run in an Internet browser. Selenium is a set of powerful different software tools working with many browsers, operating systems, programming languages, and testing frameworks each with a different approach to supporting automation test for testing web-based applications. JMeter is used to simulate a heavy load on a server, network or object to test its strength or to analyze overall performance under different load types. JMeter operates at the protocol-level, on the other hand, Selenium works at the user-level.In this paper, authors have designed an automatic software testing framework for web applications based on the Selenium and JMeter. With the use of the software framework, we efficiently improve the extensibility and reusability of automated test. The results show that the new software framework improves software products quality and develop efficiency. This paper also illustrates how to design web-based test automation framework in details. © 2012 IEEE.;Wang F., Du W.;2012;Proceedings - 2012 IEEE/ACIS 11th International Conference on Computer and Information Science, ICIS 2012;;;6211171;683;687;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864061862&doi=10.1109%2fICIS.2012.21&partnerID=40&md5=db3463b79a5806afd910923a719ab986;"Automation testing framework; Jmeter; Selenium; Web";"Automated test; Automation testing; Heavy loads; Internet browsers; Jmeter; Load type; Software applications; Software frameworks; Software products; Test automation frameworks; Testing framework; Web; WEB application; Web-based applications; Computer programming; Information science; Internet protocols; Reusability; Selenium; Testing; Web services; Automation";
Mining executable specifications of web applications from Selenium IDE tests;A common practice for system testing of web-based applications is to perform the test cases through a web browser. These tests are often recorded and managed by a record and replay tool, such as Selenium IDE. Mining specifications from such tests can be very useful for understanding, verifying, and debugging the system under test. This paper presents an approach to mining a behavior specification from a Selenium IDE test suite such that (a) it captures the behavior of the tests at a high level of abstraction, (b) the behavior can be simulated, and (c) all the tests are completely reproducible from the specification. We first identify similar test actions through context-sensitive clustering so as to normalize the given Selenium IDE tests. Then, we mine patterns of test actions that represent meaningful functions and transform Selenium IDE tests into abstract tests, which are similar to the tests used in the existing model-mining techniques. From the abstract tests, we synthesize a high-level Petri net that captures both temporal constraints and data values. For evaluation purposes, we applied our approach to eight test suites of two real-world systems, Magento (an online shopping system being used by many live stores) and Amazon. Two of the test suites are for security testing, aiming at SQL injection and XSS vulnerabilities. The result shows that our approach is effective in producing abstract yet executable specifications and reducing the complexity of the models. © 2012 IEEE.;Xu D., Xu W., Bavikati B.K., Wong W.E.;2012;Proceedings of the 2012 IEEE 6th International Conference on Software Security and Reliability, SERE 2012;;;6258316;263;272;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866635438&doi=10.1109%2fSERE.2012.39&partnerID=40&md5=f65e90cd7b267e6d20b22b09222c0d3c;"Model-based testing; Petri nets; Software testing; Test mining; Web applications";"Behavior specifications; Context-sensitive; Data values; Executable specifications; High level of abstraction; Model based testing; On-line Shopping systems; Real-world system; Record-and-replay; Security testing; SQL injection; System testing; System under test; Temporal constraints; Test case; Test mining; WEB application; Web-based applications; Integrodifferential equations; Petri nets; Program debugging; Security of data; Selenium; Software reliability; Software testing; Specifications; World Wide Web; Testing";
Improving test data management in record and playback testing tools;It is almost impossible to prevent requirement change in the web development life cycle. Selenium despite being a widely used open source automated tool for testing web application, has its limitation when it concerns test data management. Frequent changes in requirement result in changes in the user interface which in turn requires additional effort to re-record the test script. Eventually keeping track of test data used for each test script becomes very problematic for the tester. In this paper, we analyse existing tools and provide a design of an automated testing tool, Kishanium that also manages the set of test data. A prototype was created during experimentation phase to prove the concept of the underlying ideas of the proposed tool. The prototype has been implemented based on the core technologies of DomDocument, XPath and Curl. The testing carried out proves that Kishanium is a useful automated tool that can be used on its own or in conjunction with Selenium. With a very systematic approach it automatically searches input and button objects, allows testers to add new test data, edit existing test data and delete previous test data in order to respond to frequent requirement changes. The power of Kishanium is that it is able to re-use existing test data even if there are a number of changes in the user interface. It also automatically runs the tests with the appropriate set of test data using its Poster Component. Moreover the Kishanium automated tool provides additional features such as Data generator, Spylink and Snapshot. © 2012 IEEE.;Nagowah L., Doorgah K.;2012;2012 International Conference on Computer and Information Science, ICCIS 2012 - A Conference of World Engineering, Science and Technology Congress, ESTCON 2012 - Conference Proceedings;2;;6297159;931;937;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867852758&doi=10.1109%2fICCISci.2012.6297159&partnerID=40&md5=0c8175a24fc6f61180c430df08c9923d;"automated testing; record and playback problem; test data management";"Automated testing; Automated testing tools; Automated tools; Core technology; If there are; Open sources; Record and playback; Requirement change; Test data; Test data in; Test data management; Test scripts; Testing tools; WEB application; Web development; Automation; Information management; Information science; Selenium; Technology; User interfaces";
Browser level performance: Automation and best practices;The performance world has long been concerned with the speed and scalability of their IT infrastructure in relation to user experience. Traditional load testing applications all provide great benefits in testing and tuning your application infrastructure for optimal performance. However, with the emergence of web 2.0 and more interactive web applications, these traditional performance testing tools struggle to provide an accurate representation of your application's performance from the end-user's perspective. Client side performance is often a field which falls somewhere between the development, functional and performance organizations and is often neglected. This paper will present some best practices for ensuring better perceived application performance from the end users perspective, and an approach to using client side measurement tools in conjunction with the Selenium automation software to monitor and track your application's performance from the end-user's perspective.;Mazooji A., Kancharla M.R., Das A., Purushothaman B., Srinivasa L.N.;2013;Annual International Conference of the Computer Measurement Group, CMG 2013;2;;;1058;1069;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899883440&partnerID=40&md5=96a5363822dd82e5251379e193fc1eaf;;"Application programs; Tools; World Wide Web; Application performance; Automation software; Interactive web applications; IT infrastructures; Measurement tools; Optimal performance; Performance testing; User experience; Measurements";Computer Measurement Group Inc
Capture-replay vs. programmable web testing: An empirical assessment during test case evolution;"There are several approaches for automated functional web testing and the choice among them depends on a number of factors, including the tools used for web testing and the costs associated with their adoption. In this paper, we present an empirical cost/benefit analysis of two different categories of automated functional web testing approaches: (1) capture-replay web testing (in particular, using Selenium IDE); and, (2) programmable web testing (using Selenium WebDriver). On a set of six web applications, we evaluated the costs of applying these testing approaches both when developing the initial test suites from scratch and when the test suites are maintained, upon the release of a new software version. Results indicate that, on the one hand, the development of the test suites is more expensive in terms of time required (between 32% and 112%) when the programmable web testing approach is adopted, but on the other hand, test suite maintenance is less expensive when this approach is used (with a saving between 16% and 51%). We found that, in the majority of the cases, after a small number of releases (from one to three), the cumulative cost of programmable web testing becomes lower than the cost involved with capture-replay web testing and the cost saving gets amplified over the successive releases. © 2013 IEEE.";Leotta M., Clerissi D., Ricca F., Tonella P.;2013;Proceedings - Working Conference on Reverse Engineering, WCRE;;;6671302;272;281;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893430681&doi=10.1109%2fWCRE.2013.6671302&partnerID=40&md5=2b805d8ab73a03098f395051e37e5826;"Empirical Study; Selenium IDE; Selenium WebDriver; Test Case Evolution; Test Case Repair";"Application programs; Cost benefit analysis; Costs; Integrodifferential equations; Reverse engineering; Selenium; Testing; Web crawler; Cumulative cost; Empirical assessment; Empirical studies; Number of factors; Software versions; Test case; Test case evolutions; WEB application; Software testing";IEEE Computer Society
Automated exploration and analysis of ajax web applications with webmole;WebMole is a browser-based tool that automatically and exhaustively explores all pages inside a web application. Contrarily to classical web crawlers, which only explore pages accessible through regular <a> anchors,WebMole can find its way through Ajax applications that use JavaScript-triggered links, and handles state changes that do not involve a page reload. User-defined functions called oracles can be used to bound the range of pages explored by WebMole to specific parts of an application, as well as to evaluate Boolean test conditions on all visited pages. Overall, WebMole can prove a more flexible alternative to automated testing suites such as Selenium WebDriver.;Le Breton G., Maronnaud F., Hallé S.;2013;WWW 2013 Companion - Proceedings of the 22nd International Conference on World Wide Web;;;;245;248;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893095379&doi=10.1145%2f2487788.2487913&partnerID=40&md5=a8ce1dfe2642a436069fa5aeac0ab258;"Navigation; Reverse engineering; Web applications";"Navigation; Reverse engineering; World Wide Web; Automated testing; Boolean tests; Javascript; User Defined Functions; WEB application; Web crawler";Association for Computing Machinery
Repairing selenium test cases: An industrial case study about web page element localization;This poster presents an industrial case study about test automation and test suite maintenance in the context of Web applications. The Web application under test is a Learning Content Management System (eXact learning LCMS). We analysed the costs associated with the realignment of four equivalent Selenium WebDriver test suites, implemented using the page object pattern and different methods to locate web page elements, to a subsequent release of eXact learning LCMS. In our study, the two ID-based test suites required significantly less maintenance effort than the XPath-based ones. © 2013 IEEE.;Leotta M., Clerissi D., Ricca F., Spadaro C.;2013;Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation, ICST 2013;;;6569767;487;488;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883318945&doi=10.1109%2fICST.2013.73&partnerID=40&md5=81111238132cdfd98b4ee2204d71eb24;"Selenium WebDriver; Test Automation; Test Suite Maintainability; Web Application Testing";"Exact learning; Industrial case study; Learning content management system; Maintenance efforts; Object patterns; Test Automation; WEB application; Web application testing; Industrial applications; Repair; Selenium; Software testing; Websites; Testing";
Improving test suites maintainability with the page object pattern: An industrial case study;The page object pattern is used in the context of web testing for abstracting the application's web pages in order to reduce the coupling between test cases and application under test. This paper reports on an industrial case study in a small Italian company (eXact learning solutions S.p.A.) investigating the potential benefits of adopting the page object pattern to improve the maintainability of Selenium Web Driver test cases. After a maintenance/evolution activity performed on the application under test, we compared two equivalent test suites, one built using the page object pattern and one without it. The results of our case study indicate a strong reduction in terms of time required (by a factor of about three) and number of modified LOCs (by a factor of about eight) to repair the test suite when the page object pattern is used. © 2013 IEEE.;Leotta M., Clerissi D., Ricca F., Spadaro C.;2013;Proceedings - IEEE 6th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2013;;;6571616;108;113;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883315834&doi=10.1109%2fICSTW.2013.19&partnerID=40&md5=3d9a669e8c5f8c18023f4d24972cd0fb;"Page Object Pattern; Selenium WebDriver; Test Automation; Test Suite Maintainability; Web Application Testing";"Application under tests; Exact learning; Industrial case study; Italian companies; Object patterns; Potential benefits; Test Automation; Web application testing; Industrial applications; Maintainability; Repair; Selenium; Software testing; Testing";
Extension of Selenium RC tool to perform automated testing with databases in web applications;This paper presents one extension of the Selenium RC tool to perform tests in web applications that require checking data in databases. This verification is performed using new functions implemented into the Selenium framework's core. These functions allow opening and closing database connection and comparing test data with data stored in the database used by the web application. This solution aims to contribute to the system quality by reducing the effort during the testing process, since the verification of UI and database elements will be performed at the same time during execution of the test scripts. A case study is described to analyze the impact of the proposed tool in terms of effort and rate of automation in the development of a new web application project. The results suggest a significant reduction (92% and 88%) in the effort to execute automated tests in database when compared to, respectively, manual and semiautomated execution. © 2013 IEEE.;De Castro A.M.F.V., Macedo G.A., Collins E.F., Dias-Neto A.C.;2013;2013 8th International Workshop on Automation of Software Test, AST 2013 - Proceedings;;;6595803;125;131;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885001936&doi=10.1109%2fIWAST.2013.6595803&partnerID=40&md5=b0e6432b1c7ffe1c78f2d2e4495380ea;"Database Testing; Functional Testing; Selenium RC; Software Testing; Test Automation";"Automated test; Automated testing; Database connections; Database testing; Functional testing; Test Automation; Testing process; WEB application; Applications; Automation; Database systems; Selenium; Testing; Tools; World Wide Web; Software testing";
A Selenium based approach to automatic test script generation for refactoring JavaScript code;During the development process of Web application, two essential phases are software testing and code refactoring. However, automatic testing script plays an important role in test automation. It has been a hot research topic in Web application. In order to refactor the JavaScript code of Web application more conveniently, an approach to automatic script generation from the defined test case is introduced in this paper. First, it describes the test case using customized XML format. Then, since Selenium platform supports multi-browsers testing, a method to transform XML description into test scripts based on Selenium framework is proposed as the emphasis. © 2013 IEEE.;Chen R., Miao H.;2013;2013 IEEE/ACIS 12th International Conference on Computer and Information Science, ICIS 2013 - Proceedings;;;6607864;341;346;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886493766&doi=10.1109%2fICIS.2013.6607864&partnerID=40&md5=502f84195429bfc17fe463e1f1919800;"JavaScript Refactoring; Selenium; The Framework of Script Automatic Generation; XML Schema";"Automatic Generation; Code re-factoring; Development process; Hot research topics; Refactorings; Script generation; XML description; XML schemas; Applications; Automatic testing; High level languages; Information science; Software testing; World Wide Web; XML; Selenium";
