Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
"Joshi R., Saraswat P., Gajendran R.","A novel mu rhythm-based brain computer interface design that uses a programmable system on chip",2012,"Journal of Medical Signals and Sensors","2","1",,"11","16",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018976983&doi=10.4103%2f2228-7477.103146&partnerID=40&md5=4fac5cafe21c2c98fe785bc3113a645d","This paper describes the system design of a portable and economical mu rhythm based Brain Computer Interface which employs Cypress Semiconductors Programmable System on Chip (PSoC). By carrying out essential processing on the PSoC, the use of an extra computer is eliminated, resulting in considerable cost savings. Microsoft Visual Studio 2005 and PSoC Designer 5.01 are employed in developing the software for the system, the hardware being custom designed. In order to test the usability of the BCI, preliminary testing is carried out by training three subjects who were able to demonstrate control over their electroencephalogram by moving a cursor present at the center of the screen towards the indicated direction with an average accuracy greater than 70% and a bit communication rate of up to 7 bits/min.","brain computer interface; Electroencephalogram; microcontroller; Mu rhythm; portable; prosthetic; PSoC",,"Isfahan University of Medical Sciences(IUMS)"
"Cheluvaraju B., Nagal K., Pasala A.","Mining software revision history using advanced social network analysis",2012,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC","1",,"6462733","717","720",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874610760&doi=10.1109%2fAPSEC.2012.113&partnerID=40&md5=25dffd65354de024938bfb390049a65d","In this paper, we propose a novel method to investigate relationship between the files that are committed together by applying advanced social network analysis to a 'network' of source files that are committed together. The source files constitute the nodes of the network and an edge is created between files which are committed together in the same revision. We present our findings with recommendations on how mining revision histories from a social network analysis perspective can be used to build inferences on change propagation, evaluate impact analysis, and extract cross-programming-language relationships. We performed empirical analysis on revision histories of a well-known open-source web application testing system, 'Selenium' and results are reported. © 2012 IEEE.","data mining; Mining software repository; social network analysis; software engineering; version histories","Data mining; Social sciences computing; Software engineering; Change propagation; Empirical analysis; Impact analysis; Mining software; Mining software repositories; Open-source; Social Network Analysis; Source files; Web application testing; Social networking (online)","IEEE Computer Society"
"Nakasato N.","Implementation of a parallel tree method on a GPU",2012,"Journal of Computational Science","3","3",,"132","141",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860623716&doi=10.1016%2fj.jocs.2011.01.006&partnerID=40&md5=22253553bafb20414b01218c81cfade4","The kd-tree is a fundamental tool in computer science. Among other applications, the application of kd-tree search (by the tree method) to the fast evaluation of particle interactions and neighbor search is highly important, since the computational complexity of these problems is reduced from O(N 2) for a brute force method to O(NlogN) for the tree method, where N is the number of particles. In this paper, we present a parallel implementation of the tree method running on a graphics processing unit (GPU). We present a detailed description of how we have implemented the tree method on a Cypress GPU. An optimization that we found important is localized particle ordering to effectively utilize cache memory. We present a number of test results and performance measurements. Our results show that the execution of the tree traversal in a force calculation on a GPU is practical and efficient. © 2011 Elsevier B.V.",,"Brute force; Force calculation; Fundamental tools; Graphics Processing Unit; Kd-tree; Other applications; Parallel implementations; Performance measurements; Tree method; Tree traversal; Cache memory; Computer graphics; Particle interactions; Program processors; Computer graphics equipment",
"Lovay M., Peretti G., Romero E., Marqués C.","An adaptive amplifier system for wireless sensor network applications",2012,"Journal of Electrical and Computer Engineering",,,"762927","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863703120&doi=10.1155%2f2012%2f762927&partnerID=40&md5=4df10bb040fbd4413daff4052d6ba4b7","This paper presents an adaptive amplifier that is part of a sensor node in a wireless sensor network. The system presents a target gain that has to be maintained without direct human intervention despite the presence of faults. In addition, its bandwidth must be as large as possible. The system is composed of a software-based built-in self-test scheme implemented in the node that checks all the available gains in the amplifiers, a reconfigurable amplifier, and a genetic algorithm (GA) for reconfiguring the node resources that runs on a host computer. We adopt a PSoC device from Cypress for the node implementation. The performance evaluation of the scheme presented is made by adopting four different types of fault models in the amplifier gains. The fault simulation results show that GA finds the target gain with low error, maintains the bandwidth above the minimum tolerable bandwidth, and presents a runtime lower than exhaustive search method. Copyright © 2012 Mnica Lovay et al.",,"Amplifier gain; Amplifier systems; Exhaustive search; Fault model; Fault simulation; Host computers; Human intervention; Performance evaluation; PSoC devices; Runtimes; Software-based; Wireless sensor; Bandwidth; Built-in self test; Sensor nodes",
"Wang F., Du W.","A test automation framework based on WEB",2012,"Proceedings - 2012 IEEE/ACIS 11th International Conference on Computer and Information Science, ICIS 2012",,,"6211171","683","687",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864061862&doi=10.1109%2fICIS.2012.21&partnerID=40&md5=db3463b79a5806afd910923a719ab986","Many software applications today are written as web-based applications to be run in an Internet browser. Selenium is a set of powerful different software tools working with many browsers, operating systems, programming languages, and testing frameworks each with a different approach to supporting automation test for testing web-based applications. JMeter is used to simulate a heavy load on a server, network or object to test its strength or to analyze overall performance under different load types. JMeter operates at the protocol-level, on the other hand, Selenium works at the user-level.In this paper, authors have designed an automatic software testing framework for web applications based on the Selenium and JMeter. With the use of the software framework, we efficiently improve the extensibility and reusability of automated test. The results show that the new software framework improves software products quality and develop efficiency. This paper also illustrates how to design web-based test automation framework in details. © 2012 IEEE.","Automation testing framework; Jmeter; Selenium; Web","Automated test; Automation testing; Heavy loads; Internet browsers; Jmeter; Load type; Software applications; Software frameworks; Software products; Test automation frameworks; Testing framework; Web; WEB application; Web-based applications; Computer programming; Information science; Internet protocols; Reusability; Selenium; Testing; Web services; Automation",
"Xu D., Thomas L., Kent M., Mouelhi T., Le Traon Y.","A model-based approach to automated testing of access control policies",2012,"Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT",,,,"209","218",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864050653&doi=10.1145%2f2295136.2295173&partnerID=40&md5=de7de998ef1416a6fa3859d9b3debf1e","Access control policies in software systems can be implemented incorrectly for various reasons. This paper presents a model-based approach for automated testing of access control implementation. To feed the model-based testing process, test models are constructed by integrating declarative access control rules and contracts (preconditions and post-conditions) of the associated activities. The access control tests are generated from the test models to exercise the interactions of access control activities. Test executability is obtained through a mapping of the modeling elements to implementation constructs. The approach has been implemented in an industry-adopted test automation framework that supports the generation of test code in a variety of languages, such as Java, C, C++, C#, and HTML/Selenium IDE. The full model-based testing process has been applied to two systems implemented in Java. The effectiveness is evaluated in terms of access-control fault detection rate using mutation analysis of access control implementation. The experiments show that the model-based tests killed 99.7% of the mutants and the remaining mutants caused no policy violations. Copyright 2012 ACM.","Access control; Model-based testing; Mutation analysis; Petri nets; Software testing","Access control policies; Automated testing; Control activities; Control implementation; Declarative access control; Fault detection rate; Model based approach; Model based testing; Model-based test; Modeling elements; Mutation analysis; Software systems; Test automation frameworks; Test code; Test models; Java programming language; Petri nets; Software testing; Testing; Access control",
"Hiari O., Sadeh W., Rawashdeh O.","Towards single-chip diversity TMR for automotive applications",2012,"IEEE International Conference on Electro Information Technology",,,"6220736","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864199194&doi=10.1109%2fEIT.2012.6220736&partnerID=40&md5=8d8d49a121bf70be79682d453c1dafcb","The continuous requirement to provide safe, low-cost, compact systems makes applications such as automotive more prone to increasing types of faults. This may result in increased system failure rates if not addressed correctly. While some of the faults are not permanent in nature, they can lead to malfunctioning in complex circuits and/or software systems. Moreover, automotive applications have recently adopted the ISO26262 to provide a standard for defining functional safety. One of the recommended schemes to tolerate faults is Triple Modular Redundancy (TMR). However, traditional TMR designs typically consume too much space, power, and money all of which are undesirable for automotive. In addition, common mode faults have always been a concern in TMR which their effects would be increasing in compact systems. Errors such as noise and offset that impact a TMR sensor input can potentially cause common mode failures that lead to an entire system failure. In this paper, we introduce a new architecture and implementation for diverse TMR in a speed measurement system that would serve automotive cost and safety demands. Diversity TMR is achieved on a single chip by designing functionally identical circuits each in a different design domain to reduce the potential of common mode failures. Three versions of a speed sensing application are implemented on a mixed-signal Programmable System on Chip (PSoC) from Cypress Semiconductors. We introduce errors that impact speed sensor signals as defined by the ISO26262 standard to evaluate DTMR. Our testing shows how DTMR can be effective to different types of errors that impact speed sensor signals. © 2012 IEEE.","DTMR; Fault Tolerance; Functional Safety; ISO26262; SEUs; TMR","DTMR; Functional Safety; ISO26262; SEUs; TMR; Automobiles; Fault tolerance; Errors",
"Xu D., Xu W., Bavikati B.K., Wong W.E.","Mining executable specifications of web applications from Selenium IDE tests",2012,"Proceedings of the 2012 IEEE 6th International Conference on Software Security and Reliability, SERE 2012",,,"6258316","263","272",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866635438&doi=10.1109%2fSERE.2012.39&partnerID=40&md5=f65e90cd7b267e6d20b22b09222c0d3c","A common practice for system testing of web-based applications is to perform the test cases through a web browser. These tests are often recorded and managed by a record and replay tool, such as Selenium IDE. Mining specifications from such tests can be very useful for understanding, verifying, and debugging the system under test. This paper presents an approach to mining a behavior specification from a Selenium IDE test suite such that (a) it captures the behavior of the tests at a high level of abstraction, (b) the behavior can be simulated, and (c) all the tests are completely reproducible from the specification. We first identify similar test actions through context-sensitive clustering so as to normalize the given Selenium IDE tests. Then, we mine patterns of test actions that represent meaningful functions and transform Selenium IDE tests into abstract tests, which are similar to the tests used in the existing model-mining techniques. From the abstract tests, we synthesize a high-level Petri net that captures both temporal constraints and data values. For evaluation purposes, we applied our approach to eight test suites of two real-world systems, Magento (an online shopping system being used by many live stores) and Amazon. Two of the test suites are for security testing, aiming at SQL injection and XSS vulnerabilities. The result shows that our approach is effective in producing abstract yet executable specifications and reducing the complexity of the models. © 2012 IEEE.","Model-based testing; Petri nets; Software testing; Test mining; Web applications","Behavior specifications; Context-sensitive; Data values; Executable specifications; High level of abstraction; Model based testing; On-line Shopping systems; Real-world system; Record-and-replay; Security testing; SQL injection; System testing; System under test; Temporal constraints; Test case; Test mining; WEB application; Web-based applications; Integrodifferential equations; Petri nets; Program debugging; Security of data; Selenium; Software reliability; Software testing; Specifications; World Wide Web; Testing",
"Nagowah L., Doorgah K.","Improving test data management in record and playback testing tools",2012,"2012 International Conference on Computer and Information Science, ICCIS 2012 - A Conference of World Engineering, Science and Technology Congress, ESTCON 2012 - Conference Proceedings","2",,"6297159","931","937",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867852758&doi=10.1109%2fICCISci.2012.6297159&partnerID=40&md5=0c8175a24fc6f61180c430df08c9923d","It is almost impossible to prevent requirement change in the web development life cycle. Selenium despite being a widely used open source automated tool for testing web application, has its limitation when it concerns test data management. Frequent changes in requirement result in changes in the user interface which in turn requires additional effort to re-record the test script. Eventually keeping track of test data used for each test script becomes very problematic for the tester. In this paper, we analyse existing tools and provide a design of an automated testing tool, Kishanium that also manages the set of test data. A prototype was created during experimentation phase to prove the concept of the underlying ideas of the proposed tool. The prototype has been implemented based on the core technologies of DomDocument, XPath and Curl. The testing carried out proves that Kishanium is a useful automated tool that can be used on its own or in conjunction with Selenium. With a very systematic approach it automatically searches input and button objects, allows testers to add new test data, edit existing test data and delete previous test data in order to respond to frequent requirement changes. The power of Kishanium is that it is able to re-use existing test data even if there are a number of changes in the user interface. It also automatically runs the tests with the appropriate set of test data using its Poster Component. Moreover the Kishanium automated tool provides additional features such as Data generator, Spylink and Snapshot. © 2012 IEEE.","automated testing; record and playback problem; test data management","Automated testing; Automated testing tools; Automated tools; Core technology; If there are; Open sources; Record and playback; Requirement change; Test data; Test data in; Test data management; Test scripts; Testing tools; WEB application; Web development; Automation; Information management; Information science; Selenium; Technology; User interfaces",
"Wada T., Ichikawa M., Matsuoka M.","Detection of individual tree in artificial forest in japan using high-resolution remote sensing imagery",2012,"33rd Asian Conference on Remote Sensing 2012, ACRS 2012","3",,,"1889","1893",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880027798&partnerID=40&md5=ff5b6b8bebd3861a813780a8065e1882","It can be possible to grasp the distribution of individual tree in the forest, mainly due to the increasing availability of high-resolution images in recent years. The positions and sizes of trees are the fundamental information for the forest management. The automatic detection of individual tree is one of the effective methods for providing such information in lower costs and resources. This study aims to develop the method to detect individual tree using high-resolution remote sensing imagery. Our method is based on the combination of basic image processing techniques, image smoothing and Local Maximum Filtering (LMF). In image smoothing, three types of smoothed image are generated by means of pixel averaging of 1×1, 3×3 and 5×5 pixels of original image. These images are, subsequently, processed by LMF with the window sizes of 3×3, 5×5, 7×7, 9×9, 11×11 pixel. The test sites are the artificial forests, dominated by Japanese cedar and Japanese cypress, located in Kochi prefecture, Japan. Remote sensing images with wide varieties of combination of canopy size and pixel resolution are selected in order to analyze the relationship between sizes and resolutions. The results will be evaluated by the comparison of ground truth data, and discussed from the viewpoint of the relation of tree density and spatial resolution.","Artificial forest; High-resolution imagery; Individual tree; Local Maximum Filtering","Artificial forest; High resolution image; High resolution imagery; High resolution remote sensing; Image processing technique; Individual tree; Local maximum filtering; Remote sensing images; Image reconstruction; Pixels; Remote sensing; Forestry; Forestry; Image Analysis; Remote Sensing; Trees",
